Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1490506994	2017-03-26 00:03:32	6.66165509259	3.09314663319e-09	2.11440290038e-10	1.57551564643	3.15362342183e+19	43.0	51.0	40.0	47.0	48.0	23.9	4.79	30.0	31.0	30.0	30.0	30.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4228515625	0.0	350.035096286	23.5001068148	0.0	111.0	-0.60546875	0.0252421875	3.1328515625	39.4933595841	39.1561479751	25.494140625	25.5236668939	25.5844444677	37.4236328125	31.742301706	
1490507894	2017-03-26 00:18:31	6.67208333333	3.11495661746e-09	2.13305603713e-10	1.57551564643	3.15362342183e+19	43.0	51.0	40.0	47.0	47.0	23.9	4.78	30.0	31.0	30.0	30.0	30.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4228515625	0.0	350.181585131	23.5001068148	0.0	111.0	1.5625	0.02541015625	3.1384375	39.4933595841	39.1561479751	25.5029296875	25.5236668939	25.5738306622	37.4154296875	31.7361980041	
1490508794	2017-03-26 00:33:31	6.6825	3.09314663319e-09	2.09591288149e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.77	30.0	31.0	30.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.4558105469	0.0	350.035096286	23.4772911771	0.0	102.0	-0.625	0.0254453125	3.1385546875	39.4933595841	39.1561479751	25.4951171875	25.5236668939	25.5638740556	37.4107421875	31.739249855	
1490509694	2017-03-26 00:48:31	6.69291666667	3.11495661746e-09	2.13305603713e-10	1.58662687305	3.15362342183e+19	43.0	51.0	40.0	47.0	48.0	23.9	4.79	30.0	31.0	30.0	30.0	30.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5327148438	0.0	349.961851863	23.5229224525	0.0	99.0	9.12109375	0.02523828125	3.138828125	39.4933595841	39.1561479751	25.4921875	25.5236668939	25.556244422	37.416015625	31.7514572588	
1490510594	2017-03-26 01:03:32	6.70332175926	3.11495661746e-09	2.13305603713e-10	1.57551564643	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.81	30.0	31.0	30.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5766601562	0.0	350.035096286	23.5457380902	0.0	93.0	-0.44921875	0.02536328125	3.13859375	39.4933595841	39.1561479751	25.501953125	25.4986236367	25.5483254002	37.40234375	31.7636646626	
1490511494	2017-03-26 01:18:31	6.71373842593	3.09314663319e-09	2.11440290038e-10	1.57551564643	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.79	30.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5656738281	0.0	349.961851863	23.5913693655	0.0	99.0	-0.48828125	0.02526171875	3.1385546875	39.4933595841	39.1561479751	25.525390625	25.4986236367	25.5423480548	37.3900390625	31.7911313211	
1490512394	2017-03-26 01:33:31	6.72415509259	3.13692038539e-09	2.11440290038e-10	1.57551564643	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.79	31.0	31.0	30.0	30.0	30.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6096191406	0.0	349.88860744	23.5457380902	0.0	101.0	-0.44921875	0.02519140625	3.13828125	39.4933595841	39.1561479751	25.5380859375	25.4986236367	25.5403568149	37.3857421875	31.800286874	
1490513294	2017-03-26 01:48:31	6.73457175926	3.09314663319e-09	2.11440290038e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.78	31.0	31.0	31.0	30.0	30.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.5986328125	0.0	349.88860744	23.5913693655	0.0	105.0	-0.78125	0.0251015625	3.131953125	39.4933595841	39.1561479751	25.5625	25.5268063129	25.5415735786	37.372265625	31.8369090854	
1490514194	2017-03-26 02:03:31	6.74498842593	3.09314663319e-09	2.13305603713e-10	1.57551564643	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.77	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6315917969	0.0	350.035096286	23.6141850032	0.0	100.0	1.09375	0.02516015625	3.1385546875	39.4933595841	39.1561479751	25.560546875	25.5268063129	25.5455538517	37.368359375	31.8399609363	
1490515094	2017-03-26 02:18:31	6.75539351852	3.07148935583e-09	2.11440290038e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.81	30.0	31.0	30.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6206054688	0.0	350.035096286	23.6370006409	0.0	98.0	-0.78125	0.0251171875	3.138046875	39.4933595841	39.1561479751	25.587890625	25.55971778	25.5496614531	37.3599609375	31.855220191	
1490515994	2017-03-26 02:33:31	6.76582175926	3.09314663319e-09	2.13305603713e-10	1.55352608567	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.78	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6206054688	0.0	349.961851863	23.5913693655	0.0	99.0	9.921875	0.02540625	3.1383984375	39.4933595841	39.1561479751	25.6064453125	25.55971778	25.5557670624	37.3609375	31.8674275948	
1490516894	2017-03-26 02:48:31	6.77622685185	3.09314663319e-09	2.11440290038e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.84	4.78	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6645507812	0.0	349.961851863	23.6598162786	0.0	102.0	-0.64453125	0.02510546875	3.1380859375	39.4933595841	39.1561479751	25.60546875	25.55971778	25.5613698441	37.344140625	31.8887905515	
1490517794	2017-03-26 03:03:31	6.78665509259	3.07148935583e-09	2.11440290038e-10	1.55352608567	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.78	31.0	31.0	31.0	30.0	30.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6755371094	0.0	350.035096286	23.6826319163	0.0	98.0	-0.5859375	0.02515625	3.138125	39.4933595841	39.1561479751	25.626953125	25.591203728	25.5684378049	37.34453125	31.9071016572	
1490518694	2017-03-26 03:18:31	6.79707175926	3.11495661746e-09	2.13305603713e-10	1.57551564643	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.76	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7084960938	0.0	349.961851863	23.7054475539	0.0	98.0	-0.4296875	0.02546484375	3.137890625	39.4933595841	39.1561479751	25.6435546875	25.591203728	25.5763301433	37.32578125	31.9345683157	
1490519594	2017-03-26 03:33:31	6.80748842593	3.09314663319e-09	2.13305603713e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.79	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7414550781	0.0	349.815363018	23.7282631916	0.0	97.0	-0.7421875	0.025140625	3.132734375	39.4933595841	39.1561479751	25.6826171875	25.6226667366	25.586272311	37.3197265625	31.9467757195	
1490520494	2017-03-26 03:48:31	6.81790509259	3.09314663319e-09	2.13305603713e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.77	31.0	31.0	30.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6975097656	0.0	349.961851863	23.7054475539	0.0	109.0	0.859375	0.0252421875	3.1381640625	39.4933595841	39.1561479751	25.6884765625	25.6226667366	25.5965229361	37.3013671875	31.974242378	
1490521394	2017-03-26 04:03:31	6.82831018519	3.09314663319e-09	2.13305603713e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.77	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7634277344	0.0	349.961851863	23.7282631916	0.0	103.0	-0.625	0.02548046875	3.13765625	39.4933595841	39.1561479751	25.6982421875	25.6561189178	25.6074343693	37.3048828125	31.9864497818	
1490522294	2017-03-26 04:18:31	6.83872685185	3.07148935583e-09	2.15187373073e-10	1.58662687305	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.79	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7634277344	0.0	350.108340709	23.7510788293	0.0	102.0	11.42578125	0.0250078125	3.1380078125	39.4933595841	39.1561479751	25.865234375	25.6561189178	25.6206729289	37.301171875	32.0078127384	
1490523194	2017-03-26 04:33:31	6.84914351852	3.09314663319e-09	2.13305603713e-10	1.58662687305	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.78	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.73046875	0.0	349.88860744	23.7510788293	0.0	106.0	-0.546875	0.02546484375	3.137578125	39.4933595841	39.1561479751	25.7412109375	25.6899708997	25.6344082714	37.2919921875	32.0261238441	
1490524094	2017-03-26 04:48:31	6.85956018519	3.11495661746e-09	2.13305603713e-10	1.56448223228	3.15362342183e+19	43.0	51.0	41.0	47.0	48.0	23.9	4.76	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8073730469	0.0	350.035096286	23.773894467	0.0	100.0	-0.60546875	0.02516015625	3.137421875	39.4933595841	39.1561479751	25.7490234375	25.6899708997	25.6486703724	37.2994140625	32.0413830988	
1490524994	2017-03-26 05:03:31	6.86997685185	3.09314663319e-09	2.15187373073e-10	1.56448223228	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.9	4.73	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7744140625	0.0	350.035096286	23.773894467	0.0	94.0	-0.546875	0.02546484375	3.137265625	39.4933595841	39.1561479751	25.62890625	25.7231248689	25.6611040556	37.2845703125	32.0505386517	
1490525894	2017-03-26 05:18:31	6.88039351852	3.11495661746e-09	2.15187373073e-10	1.56448223228	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.9	4.78	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7963867188	0.0	349.88860744	23.773894467	0.0	99.0	-0.703125	0.025390625	3.1373046875	39.4933595841	39.1561479751	25.767578125	25.7231248689	25.6748687413	37.28984375	32.0505386517	
1490526794	2017-03-26 05:33:31	6.89081018519	3.11495661746e-09	2.13305603713e-10	1.55352608567	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.9	4.78	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7963867188	0.0	350.035096286	23.7967101047	0.0	103.0	0.3515625	0.025125	3.1374609375	39.4933595841	39.1561479751	25.7841796875	25.754673081	25.6879997135	37.296875	32.0627460555	
1490527694	2017-03-26 05:48:31	6.90122685185	3.09314663319e-09	2.11440290038e-10	1.56448223228	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.9	4.79	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7744140625	0.0	349.961851863	23.773894467	0.0	98.0	-0.8203125	0.025046875	3.1380859375	39.4933595841	39.1561479751	25.7919921875	25.754673081	25.7011017924	37.2798828125	32.0627460555	
