Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1554961857	2019-04-11 00:13:16	133.093819444	3.07148935583e-09	9.42436280672e-11	1.62043293479	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.54	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.939453125	0.0	300.082399976	22.0855372784	0.0	65.0	-0.703125	0.0252421875	3.1425	39.4815283006	39.154845256	24.716796875	24.6982684039	24.8101089036	37.2865234375	30.7565538499	
1554962757	2019-04-11 00:28:16	133.104236111	3.07148935583e-09	9.59137861048e-11	1.62043293479	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.54	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9284667969	0.0	300.009155553	22.0627216407	0.0	66.0	-0.60546875	0.02558984375	3.1428125	39.4815283006	39.154845256	24.669921875	24.6982684039	24.7922717157	37.273046875	30.7565538499	
1554963657	2019-04-11 00:43:16	133.114652778	3.04998371618e-09	9.42436280672e-11	1.5978164609	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.53	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9064941406	0.0	299.862666707	22.0627216407	0.0	60.0	-0.64453125	0.025390625	3.142734375	39.4815283006	39.154845256	24.634765625	24.6982684039	24.776386214	37.2953125	30.7382427442	
1554964557	2019-04-11 00:58:17	133.12505787	3.07148935583e-09	9.3419486905e-11	1.60908496264	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.54	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.939453125	0.0	300.082399976	22.039906003	0.0	59.0	-0.625	0.025546875	3.1424609375	39.4815283006	39.154845256	24.5126953125	24.6684111525	24.7597435389	37.285546875	30.7473982971	
1554965457	2019-04-11 01:13:16	133.135474537	3.09314663319e-09	9.59137861048e-11	1.60908496264	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.52	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9064941406	0.0	299.93591113	22.039906003	0.0	63.0	-0.15625	0.02559765625	3.142578125	39.4815283006	39.154845256	24.626953125	24.6684111525	24.7448665534	37.2869140625	30.7351908933	
1554966357	2019-04-11 01:28:16	133.145891204	3.07148935583e-09	9.50750397537e-11	1.62043293479	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.53	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9284667969	0.0	300.155644398	21.9942747276	0.0	69.0	-0.8203125	0.025640625	3.142421875	39.4815283006	39.154845256	24.6240234375	24.6684111525	24.7303301119	37.3021484375	30.7199316385	
1554967257	2019-04-11 01:43:16	133.15630787	3.09314663319e-09	9.3419486905e-11	1.62043293479	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.51	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9174804688	0.0	299.93591113	22.0170903653	0.0	66.0	4.16015625	0.02559765625	3.142421875	39.4815283006	39.154845256	24.619140625	24.6391699874	24.7178913604	37.2921875	30.7229834895	
1554968157	2019-04-11 01:58:16	133.166724537	3.04998371618e-09	9.50750397537e-11	1.60908496264	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.52	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9174804688	0.0	299.93591113	22.0170903653	0.0	62.0	-0.64453125	0.02555859375	3.1425	39.4815283006	39.154845256	24.6123046875	24.6391699874	24.7057851678	37.2951171875	30.7046723838	
1554969057	2019-04-11 02:13:17	133.177141204	3.07148935583e-09	9.3419486905e-11	1.60908496264	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.48	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9284667969	0.0	300.009155553	22.0170903653	0.0	83.0	-0.625	0.0255546875	3.14265625	39.4815283006	39.154845256	24.6064453125	24.6391699874	24.6932080954	37.29609375	30.7046723838	
1554969957	2019-04-11 02:28:16	133.18755787	3.04998371618e-09	9.42436280672e-11	1.60908496264	3.15362342183e+19	43.0	52.0	40.0	48.0	48.0	23.84	5.51	33.0	28.0	33.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.8955078125	0.0	300.009155553	21.9942747276	0.0	77.0	-0.625	0.0253828125	3.1428125	39.4815283006	39.154845256	24.603515625	24.6391699874	24.6821923904	37.3041015625	30.6833094272	
