Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1555825857	2019-04-21 00:12:11	143.093055556	3.09314663319e-09	1.03803430374e-10	1.69022131032	3.15362342183e+19	48.0	57.0	46.0	53.0	54.0	23.9	5.44	39.0	33.0	39.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2019042969	0.0	299.93591113	27.1506088443	0.0	18.0	0.2734375	0.02565234375	3.12515625	39.4815283006	39.154845256	30.12890625	30.2043637269	30.1642979341	35.2275390625	36.4757225257	
1555826757	2019-04-21 00:27:10	143.103472222	3.09314663319e-09	1.03803430374e-10	1.69022131032	3.15362342183e+19	48.0	57.0	46.0	53.0	54.0	23.84	5.44	39.0	33.0	39.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.6965332031	0.0	299.93591113	26.7855586413	0.0	25.0	0.2734375	0.02526171875	3.1262890625	39.4815283006	39.154845256	30.09765625	30.1606838559	30.1587063465	35.337890625	36.3261818293	
1555827657	2019-04-21 00:42:11	143.113888889	3.11495661746e-09	1.02895690705e-10	1.67838460672	3.15362342183e+19	48.0	57.0	46.0	53.0	53.0	23.84	5.43	39.0	33.0	39.0	53.0	53.0	24.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.3889160156	0.0	300.009155553	26.4889553514	0.0	30.0	0.46875	0.0255078125	3.126640625	39.4815283006	39.154845256	29.9560546875	30.1200385382	30.140520665	35.4734375	36.051515244	
1555828557	2019-04-21 00:57:10	143.124305556	3.11495661746e-09	1.02895690705e-10	1.70214149153	3.15362342183e+19	47.0	57.0	45.0	52.0	53.0	23.84	5.42	36.0	33.0	36.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.24609375	0.0	299.862666707	26.2836146123	0.0	25.0	0.33203125	0.0255625	3.1270703125	39.4815283006	39.154845256	29.763671875	30.032727952	30.1056892549	35.5705078125	35.816522721	
1555829457	2019-04-21 01:12:11	143.134710648	3.11495661746e-09	1.01103955942e-10	1.70214149153	3.15362342183e+19	47.0	56.0	45.0	52.0	53.0	23.84	5.43	36.0	33.0	36.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0812988281	0.0	300.009155553	26.1467207862	0.0	23.0	1.66015625	0.0254140625	3.128359375	39.4815283006	39.154845256	29.5849609375	29.8795354446	30.0497840597	35.644921875	35.6151005585	
1555830357	2019-04-21 01:27:10	143.145127315	3.11495661746e-09	1.03803430374e-10	1.70214149153	3.15362342183e+19	47.0	56.0	45.0	52.0	53.0	23.84	5.43	36.0	33.0	36.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0263671875	0.0	299.93591113	26.0326425977	0.0	25.0	0.37109375	0.025375	3.128828125	39.4815283006	39.154845256	29.4013671875	29.7169443425	29.9782292104	35.7037109375	35.4564043092	
1555831257	2019-04-21 01:42:11	143.155543981	3.09314663319e-09	1.00219822622e-10	1.70214149153	3.15362342183e+19	47.0	56.0	45.0	52.0	53.0	23.84	5.43	36.0	33.0	36.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	27.0263671875	0.0	300.009155553	26.0098269601	0.0	35.0	15.0390625	0.02573828125	3.1292578125	39.4815283006	39.154845256	29.251953125	29.5551823354	29.8955438045	35.7330078125	35.352641377	
1555832157	2019-04-21 01:57:10	143.165960648	3.07148935583e-09	1.01103955942e-10	1.70214149153	3.15362342183e+19	47.0	56.0	45.0	52.0	52.0	23.84	5.44	36.0	33.0	36.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.9604492188	0.0	300.009155553	25.9870113224	0.0	35.0	0.1171875	0.02562109375	3.128984375	39.4815283006	39.154845256	29.13671875	29.3960452496	29.8072344208	35.7439453125	35.2671895505	
1555833057	2019-04-21 02:12:11	143.176377315	3.11495661746e-09	1.02895690705e-10	1.69022131032	3.15362342183e+19	47.0	56.0	45.0	52.0	52.0	23.84	5.42	36.0	33.0	36.0	53.0	53.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.8835449219	0.0	300.009155553	25.9185644093	0.0	37.0	0.29296875	0.02562890625	3.1291015625	39.4815283006	39.154845256	29.0693359375	29.2423349675	29.7168582761	35.7638671875	35.1847895749	
1555833957	2019-04-21 02:27:10	143.186793981	3.11495661746e-09	1.01103955942e-10	1.69022131032	3.15362342183e+19	47.0	56.0	45.0	52.0	52.0	23.84	5.44	36.0	33.0	36.0	53.0	53.0	24.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.8615722656	0.0	300.009155553	25.8501174963	0.0	39.0	0.37109375	0.02562109375	3.129375	39.4815283006	39.154845256	28.9677734375	29.1450850724	29.6271799176	35.7798828125	35.1298562578	
