Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1517813480	2018-02-05 00:09:34	93.521412037	3.07148935583e-09	1.22655652469e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.94	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1918945312	0.0	350.035096286	23.9564195685	0.0	82.0	-0.52734375	0.0255625	3.1369921875	36.0788660217	35.8578462768	25.9833984375	25.9211245543	25.864012292	37.0791015625	32.3343607898	
1517814380	2018-02-05 00:24:33	93.5318287037	3.07148935583e-09	1.22655652469e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.94	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2138671875	0.0	350.035096286	23.9564195685	0.0	83.0	-0.625	0.0254609375	3.136328125	36.0788660217	35.8578462768	26.0068359375	25.9211245543	25.880255597	37.076171875	32.3526718955	
1517815280	2018-02-05 00:39:33	93.5422337963	3.09314663319e-09	1.23737713347e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.95	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3017578125	0.0	350.181585131	23.9792352062	0.0	80.0	-0.25390625	0.0251328125	3.1359765625	36.0788660217	35.8578462768	26.025390625	25.9576932152	25.8961895017	37.062890625	32.3862422559	
1517816180	2018-02-05 00:54:34	93.552662037	3.13692038539e-09	1.21583053992e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.91	31.0	32.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2797851562	0.0	350.035096286	24.0020508438	0.0	85.0	-0.60546875	0.02547265625	3.13171875	36.0788660217	35.8578462768	26.056640625	25.9939898805	25.9153905802	37.050390625	32.4137089145	
1517817080	2018-02-05 01:09:34	93.5630671296	3.09314663319e-09	1.22655652469e-10	1.60908496264	3.15362342183e+19	44.0	52.0	42.0	48.0	48.0	23.84	4.96	31.0	32.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3347167969	0.0	350.181585131	24.0476821192	0.0	88.0	2.578125	0.025125	3.136328125	36.0788660217	35.8578462768	26.0693359375	26.0298539744	25.9336947515	37.044140625	32.4320200201	
1517817980	2018-02-05 01:24:33	93.5734837963	3.11495661746e-09	1.23737713347e-10	1.58662687305	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.94	31.0	32.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3786621094	0.0	350.035096286	24.0704977569	0.0	85.0	-0.5078125	0.0254609375	3.1347265625	36.0788660217	35.8578462768	26.103515625	26.0298539744	25.9534667552	37.030859375	32.4594866787	
1517818880	2018-02-05 01:39:33	93.583900463	3.09314663319e-09	1.23737713347e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.94	31.0	32.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3786621094	0.0	350.035096286	24.0933133946	0.0	81.0	-0.6640625	0.0255	3.1362109375	36.0788660217	35.8578462768	26.125	26.065577155	25.9737672345	37.0142578125	32.49610889	
1517819780	2018-02-05 01:54:34	93.5943171296	3.09314663319e-09	1.21583053992e-10	1.5978164609	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.93	31.0	32.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.4006347656	0.0	349.961851863	24.0933133946	0.0	82.0	-0.72265625	0.025375	3.1361328125	36.0788660217	35.8578462768	26.15234375	26.1008087773	25.9954756558	37.0056640625	32.5296792505	
1517820680	2018-02-05 02:09:34	93.6047337963	3.11495661746e-09	1.23737713347e-10	1.58662687305	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.94	31.0	32.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.43359375	0.0	349.88860744	24.1389446699	0.0	93.0	-0.6640625	0.02542578125	3.135546875	36.0788660217	35.8578462768	26.166015625	26.1008087773	26.0157887886	36.991796875	32.5418866543	
1517821580	2018-02-05 02:24:34	93.6151388889	3.09314663319e-09	1.22655652469e-10	1.58662687305	3.15362342183e+19	44.0	52.0	42.0	48.0	49.0	23.84	4.91	31.0	32.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.4555664062	0.0	349.961851863	24.1617603076	0.0	92.0	-0.546875	0.02519921875	3.13578125	36.0788660217	35.8578462768	26.193359375	26.1367023647	26.037646344	36.9798828125	32.5785088656	
