Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1498110393	2017-06-22 00:10:20	2.38741898148	3.11495661746e-09	2.34942710054e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9167480469	0.0	350.108340709	25.8729331339	0.0	60.0	-0.64453125	0.0253203125	3.1303125	39.6482439226	39.4480142777	27.900390625	27.8689341705	27.869602844	36.4599609375	34.476760155	
1498111293	2017-06-22 00:25:20	2.39783564815	3.11495661746e-09	2.32888184331e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	349.961851863	25.8501174963	0.0	54.0	0.87890625	0.02562109375	3.1304296875	39.6482439226	39.4480142777	27.9248046875	27.9010755296	27.8740891252	36.4603515625	34.479812006	
1498112193	2017-06-22 00:40:20	2.40825231481	3.11495661746e-09	2.32888184331e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9826660156	0.0	350.035096286	25.8501174963	0.0	51.0	-0.64453125	0.025328125	3.1296484375	39.6482439226	39.4480142777	27.9208984375	27.9010755296	27.8798718874	36.4515625	34.4920194098	
1498113093	2017-06-22 00:55:20	2.41866898148	3.09314663319e-09	2.30851625013e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	350.035096286	25.8729331339	0.0	63.0	9.86328125	0.02562890625	3.130234375	39.6482439226	39.4480142777	27.9189453125	27.9010755296	27.8853374723	36.4501953125	34.4920194098	
1498113993	2017-06-22 01:10:20	2.42908564815	3.09314663319e-09	2.32888184331e-10	1.53184343446	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	349.88860744	25.8501174963	0.0	64.0	-0.56640625	0.0253046875	3.129921875	39.6482439226	39.4480142777	27.92578125	27.9010755296	27.8924663927	36.4513671875	34.4920194098	
1498114893	2017-06-22 01:25:20	2.43949074074	3.09314663319e-09	2.32888184331e-10	1.53184343446	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.35	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	349.815363018	25.8501174963	0.0	61.0	-0.60546875	0.0253359375	3.1304296875	39.6482439226	39.4480142777	27.93359375	27.9275180893	27.8977905966	36.448828125	34.4950712607	
1498115793	2017-06-22 01:40:20	2.44991898148	3.13692038539e-09	2.30851625013e-10	1.53184343446	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9387207031	0.0	349.742118595	25.8501174963	0.0	57.0	-0.703125	0.02532421875	3.129921875	39.6482439226	39.4480142777	27.9296875	27.9275180893	27.8998790474	36.44921875	34.4950712607	
1498116693	2017-06-22 01:55:20	2.46032407407	3.09314663319e-09	2.32888184331e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	350.108340709	25.8729331339	0.0	60.0	-0.48828125	0.0253671875	3.1303125	39.6482439226	39.4480142777	27.939453125	27.9275180893	27.9034498397	36.446875	34.4920194098	
1498117593	2017-06-22 02:10:21	2.47075231481	3.13692038539e-09	2.32888184331e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	350.035096286	25.8729331339	0.0	61.0	0.6640625	0.02562890625	3.129921875	39.6482439226	39.4480142777	27.943359375	27.9275180893	27.9075046694	36.45703125	34.5042268136	
1498118493	2017-06-22 02:25:20	2.48115740741	3.09314663319e-09	2.32888184331e-10	1.53184343446	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	350.108340709	25.8501174963	0.0	54.0	-0.60546875	0.02563671875	3.1298828125	39.6482439226	39.4480142777	27.9462890625	27.9275180893	27.9115918787	36.4515625	34.4981231117	
1498119393	2017-06-22 02:40:20	2.49158564815	3.11495661746e-09	2.30851625013e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.35	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	349.815363018	25.8729331339	0.0	53.0	-0.25390625	0.02555078125	3.1301171875	39.6482439226	39.4480142777	27.9345703125	27.9275180893	27.9147069358	36.45625	34.4889675588	
1498120293	2017-06-22 02:55:20	2.50199074074	3.11495661746e-09	2.30851625013e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.35	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	349.961851863	25.8501174963	0.0	66.0	-0.5859375	0.02565625	3.130546875	39.6482439226	39.4480142777	27.9423828125	27.9275180893	27.9170779012	36.448046875	34.5011749626	
1498121193	2017-06-22 03:10:20	2.51240740741	3.11495661746e-09	2.32888184331e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9057617188	0.0	350.181585131	25.8501174963	0.0	65.0	4.4140625	0.02563671875	3.1302734375	39.6482439226	39.4480142777	27.93359375	27.9275180893	27.9193036802	36.452734375	34.4859157079	
1498122093	2017-06-22 03:25:21	2.52282407407	3.09314663319e-09	2.28832874988e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.35	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9826660156	0.0	349.961851863	25.8501174963	0.0	60.0	-0.625	0.02552734375	3.1303125	39.6482439226	39.4480142777	27.93359375	27.9275180893	27.9204842582	36.459765625	34.4889675588	
1498122993	2017-06-22 03:40:20	2.53324074074	3.11495661746e-09	2.28832874988e-10	1.53184343446	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9716796875	0.0	349.88860744	25.8957487716	0.0	62.0	-0.56640625	0.02556640625	3.12984375	39.6482439226	39.4480142777	27.9267578125	27.9275180893	27.9220607032	36.44609375	34.5133823664	
1498123893	2017-06-22 03:55:20	2.54365740741	3.11495661746e-09	2.28832874988e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9716796875	0.0	350.108340709	25.8729331339	0.0	61.0	-0.5859375	0.02555078125	3.1303125	39.6482439226	39.4480142777	27.953125	27.9275180893	27.92279524	36.436328125	34.5225379192	
1498124793	2017-06-22 04:10:20	2.55407407407	3.13692038539e-09	2.30851625013e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9826660156	0.0	350.035096286	25.8957487716	0.0	58.0	-0.68359375	0.0255234375	3.1296875	39.6482439226	39.4480142777	27.953125	27.9275180893	27.9249243065	36.4396484375	34.5164342174	
1498125693	2017-06-22 04:25:20	2.56449074074	3.11495661746e-09	2.30851625013e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.9	5.34	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.927734375	0.0	349.961851863	25.8729331339	0.0	60.0	0.29296875	0.0253046875	3.1302734375	39.6482439226	39.4480142777	27.947265625	27.9275180893	27.9263795364	36.45078125	34.5103305155	
1498126593	2017-06-22 04:40:20	2.57490740741	3.09314663319e-09	2.28832874988e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.9	5.35	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9826660156	0.0	350.035096286	25.8729331339	0.0	55.0	-0.60546875	0.02556640625	3.130234375	39.6482439226	39.4480142777	28.076171875	27.9275180893	27.9295748957	36.4505859375	34.5164342174	
1498127493	2017-06-22 04:55:20	2.58532407407	3.11495661746e-09	2.28832874988e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.34	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9826660156	0.0	349.815363018	25.8729331339	0.0	69.0	5.46875	0.025484375	3.1296875	39.6482439226	39.4480142777	27.9443359375	27.9275180893	27.9311065252	36.4416015625	34.5103305155	
1498128393	2017-06-22 05:10:20	2.59572916667	3.13692038539e-09	2.28832874988e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.34	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	350.035096286	25.8957487716	0.0	55.0	-0.56640625	0.0253125	3.1301953125	39.6482439226	39.4480142777	27.935546875	27.9275180893	27.932394797	36.4369140625	34.5133823664	
1498129293	2017-06-22 05:25:20	2.60615740741	3.15903902133e-09	2.28832874988e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9716796875	0.0	349.88860744	25.8501174963	0.0	56.0	-0.7421875	0.02544921875	3.1298828125	39.6482439226	39.4480142777	27.939453125	27.9275180893	27.9354766014	36.4421875	34.5011749626	
1498130193	2017-06-22 05:40:20	2.6165625	3.11495661746e-09	2.26831778517e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	350.035096286	25.8729331339	0.0	58.0	-0.52734375	0.0253046875	3.1303515625	39.6482439226	39.4480142777	27.9365234375	27.9275180893	27.9360001237	36.4580078125	34.5133823664	
1498131093	2017-06-22 05:55:20	2.62699074074	3.09314663319e-09	2.28832874988e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9387207031	0.0	350.108340709	25.8729331339	0.0	68.0	-0.6640625	0.0253203125	3.13	39.6482439226	39.4480142777	27.93359375	27.9462956166	27.9372526681	36.4533203125	34.4950712607	
1498131993	2017-06-22 06:10:20	2.63739583333	3.11495661746e-09	2.26831778517e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.9	5.35	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9606933594	0.0	350.108340709	25.8501174963	0.0	62.0	0.72265625	0.0256484375	3.13046875	39.6482439226	39.4480142777	27.931640625	27.9462956166	27.9379243315	36.4599609375	34.4920194098	
1498132893	2017-06-22 06:25:20	2.64782407407	3.11495661746e-09	2.26831778517e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.9	5.36	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9936523438	0.0	350.035096286	25.8729331339	0.0	62.0	-0.56640625	0.02522265625	3.130390625	39.6482439226	39.4480142777	27.9365234375	27.9462956166	27.9378446288	36.4546875	34.5011749626	
1498133793	2017-06-22 06:40:20	2.65822916667	3.11495661746e-09	2.26831778517e-10	1.53184343446	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.927734375	0.0	349.961851863	25.8501174963	0.0	71.0	11.69921875	0.02554296875	3.13015625	39.6482439226	39.4480142777	27.939453125	27.9462956166	27.9371592182	36.459765625	34.4950712607	
1498134693	2017-06-22 06:55:20	2.66864583333	3.09314663319e-09	2.26831778517e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	350.108340709	25.8501174963	0.0	59.0	-0.5859375	0.02537890625	3.130546875	39.6482439226	39.4480142777	27.9375	27.9462956166	27.9356189052	36.452734375	34.4859157079	
1498135593	2017-06-22 07:10:20	2.6790625	3.07148935583e-09	2.26831778517e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	349.88860744	25.8273018586	0.0	66.0	-0.72265625	0.02551953125	3.1303125	39.6482439226	39.4480142777	27.93359375	27.9462956166	27.9356178736	36.4583984375	34.4737083041	
1498136493	2017-06-22 07:25:20	2.68947916667	3.11495661746e-09	2.2288193008e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	350.035096286	25.8501174963	0.0	58.0	-0.390625	0.02560546875	3.1303125	39.6482439226	39.4480142777	27.9306640625	27.9462956166	27.9348281969	36.461328125	34.4889675588	
1498137393	2017-06-22 07:40:20	2.69989583333	3.11495661746e-09	2.24848181223e-10	1.55352608567	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.35	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9716796875	0.0	350.035096286	25.8501174963	0.0	49.0	-0.52734375	0.025515625	3.12390625	39.6482439226	39.4480142777	27.935546875	27.9462956166	27.9348676217	36.4583984375	34.4889675588	
1498138293	2017-06-22 07:55:20	2.7103125	3.09314663319e-09	2.26831778517e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.36	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9497070312	0.0	350.035096286	25.8501174963	0.0	61.0	1.2890625	0.02523046875	3.129375	39.6482439226	39.4480142777	27.9296875	27.9462956166	27.933443409	36.44921875	34.4920194098	
1498139193	2017-06-22 08:10:20	2.72071759259	3.11495661746e-09	2.28832874988e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.37	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9167480469	0.0	350.108340709	25.8501174963	0.0	58.0	-0.5859375	0.025625	3.1301171875	39.6482439226	39.4480142777	27.923828125	27.9462956166	27.934504965	36.451953125	34.479812006	
1498140093	2017-06-22 08:25:20	2.73114583333	3.09314663319e-09	2.24848181223e-10	1.54264666551	3.15362342183e+19	48.0	57.0	45.0	51.0	51.0	23.84	5.35	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.9387207031	0.0	349.815363018	25.8273018586	0.0	65.0	11.6015625	0.02561328125	3.130546875	39.6482439226	39.4480142777	27.931640625	27.9462956166	27.9345273556	36.4634765625	34.476760155	
