Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1529905326	2018-06-25 00:07:25	11.0054398148	3.09314663319e-09	1.78941834179e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.53	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2468261719	0.0	350.035096286	23.5457380902	0.0	86.0	-0.41015625	0.02546484375	3.138125	39.4786176865	39.1645765487	26.228515625	26.2358824455	26.2300234108	36.7912109375	32.0963164159	
1529906226	2018-06-25 00:22:25	11.0158564815	3.07148935583e-09	1.77377024609e-10	1.52111585898	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.54	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2687988281	0.0	350.108340709	23.5685537278	0.0	80.0	-0.60546875	0.025609375	3.138359375	39.4786176865	39.1645765487	26.2236328125	26.2358824455	26.2309944974	36.7974609375	32.090212714	
1529907126	2018-06-25 00:37:24	11.0262731481	3.11495661746e-09	1.77377024609e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.55	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2248535156	0.0	349.961851863	23.5457380902	0.0	80.0	-0.546875	0.0255546875	3.1376953125	39.4786176865	39.1645765487	26.2294921875	26.2358824455	26.2316115582	36.800390625	32.0963164159	
1529908026	2018-06-25 00:52:25	11.0366898148	3.09314663319e-09	1.78941834179e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.53	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2468261719	0.0	350.108340709	23.5229224525	0.0	78.0	-0.60546875	0.02540625	3.138046875	39.4786176865	39.1645765487	26.2236328125	26.2358824455	26.2314166713	36.801171875	32.0841090121	
1529908926	2018-06-25 01:07:25	11.0471064815	3.11495661746e-09	1.75825898976e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.54	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2687988281	0.0	350.035096286	23.5457380902	0.0	79.0	-0.390625	0.025671875	3.1374609375	39.4786176865	39.1645765487	26.2353515625	26.2358824455	26.2315922969	36.7974609375	32.0963164159	
1529909826	2018-06-25 01:22:25	11.0575231481	3.09314663319e-09	1.77377024609e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.54	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2797851562	0.0	349.961851863	23.5457380902	0.0	88.0	-0.625	0.025625	3.1319921875	39.4786176865	39.1645765487	26.2294921875	26.2358824455	26.2293892808	36.7880859375	32.093264565	
1529910726	2018-06-25 01:37:24	11.0679398148	3.07148935583e-09	1.77377024609e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.54	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2468261719	0.0	350.035096286	23.5457380902	0.0	84.0	1.34765625	0.0254296875	3.1380859375	39.4786176865	39.1645765487	26.220703125	26.2358824455	26.2287175004	36.7876953125	32.0963164159	
1529911626	2018-06-25 01:52:25	11.0783564815	3.09314663319e-09	1.77377024609e-10	1.52111585898	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.55	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2468261719	0.0	349.961851863	23.5457380902	0.0	87.0	-0.546875	0.02572265625	3.1380078125	39.4786176865	39.1645765487	26.205078125	26.2358824455	26.2271442828	36.79140625	32.1024201178	
1529912526	2018-06-25 02:07:25	11.0887731481	3.09314663319e-09	1.77377024609e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.52	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2248535156	0.0	349.88860744	23.5685537278	0.0	76.0	2.67578125	0.0256875	3.1373828125	39.4786176865	39.1645765487	26.224609375	26.2358824455	26.2268898224	36.7986328125	32.090212714	
1529913426	2018-06-25 02:22:25	11.0991782407	3.04998371618e-09	1.77377024609e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.54	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2797851562	0.0	349.961851863	23.5457380902	0.0	72.0	-0.56640625	0.02572265625	3.137421875	39.4786176865	39.1645765487	26.2080078125	26.2358824455	26.2253626034	36.8021484375	32.090212714	
1529914326	2018-06-25 02:37:24	11.1095949074	3.07148935583e-09	1.77377024609e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.52	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.3017578125	0.0	350.035096286	23.5685537278	0.0	70.0	-0.68359375	0.025703125	3.137734375	39.4786176865	39.1645765487	26.2314453125	26.2358824455	26.2245378558	36.7853515625	32.1024201178	
1529915226	2018-06-25 02:52:25	11.1200115741	3.09314663319e-09	1.75825898976e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.53	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2358398438	0.0	350.035096286	23.5457380902	0.0	76.0	-0.2734375	0.02555859375	3.137734375	39.4786176865	39.1645765487	26.2265625	26.2358824455	26.2245068076	36.78828125	32.1024201178	
1529916126	2018-06-25 03:07:25	11.1304282407	3.07148935583e-09	1.77377024609e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.53	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2028808594	0.0	350.035096286	23.5229224525	0.0	75.0	-0.60546875	0.02578515625	3.1384375	39.4786176865	39.1645765487	26.205078125	26.2358824455	26.2254965894	36.7990234375	32.093264565	
1529917026	2018-06-25 03:22:25	11.1408449074	3.07148935583e-09	1.77377024609e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.52	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2687988281	0.0	350.035096286	23.5001068148	0.0	73.0	2.578125	0.02573046875	3.138203125	39.4786176865	39.1645765487	26.224609375	26.2358824455	26.224103881	36.800390625	32.0749534593	
1529917926	2018-06-25 03:37:24	11.1512615741	3.09314663319e-09	1.77377024609e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.53	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2358398438	0.0	350.035096286	23.5229224525	0.0	93.0	-0.80078125	0.0257265625	3.138359375	39.4786176865	39.1645765487	26.208984375	26.2358824455	26.2223627859	36.81171875	32.0780053102	
1529918826	2018-06-25 03:52:24	11.1616782407	3.07148935583e-09	1.75825898976e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.52	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2358398438	0.0	350.035096286	23.5457380902	0.0	67.0	-0.76171875	0.02534375	3.1380078125	39.4786176865	39.1645765487	26.203125	26.2173932991	26.2196302816	36.8021484375	32.0780053102	
1529919726	2018-06-25 04:07:25	11.1720949074	3.07148935583e-09	1.77377024609e-10	1.54264666551	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.53	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2687988281	0.0	349.88860744	23.5457380902	0.0	76.0	-0.6640625	0.02540234375	3.1380859375	39.4786176865	39.1645765487	26.2021484375	26.2173932991	26.2173087971	36.79296875	32.0810571612	
1529920626	2018-06-25 04:22:25	11.1825	3.07148935583e-09	1.77377024609e-10	1.53184343446	3.15362342183e+19	42.0	50.0	40.0	47.0	48.0	23.9	4.52	34.0	29.0	34.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2578125	0.0	349.961851863	23.5457380902	0.0	78.0	-0.625	0.025703125	3.138046875	39.4786176865	39.1645765487	26.1982421875	26.2173932991	26.2156699065	36.7982421875	32.0871608631	
