Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1516517480	2018-01-21 00:09:38	78.5225462963	3.07148935583e-09	1.32745020275e-10	1.5978164609	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.9	4.96	30.0	31.0	30.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.6755371094	0.0	349.961851863	23.408844264	0.0	84.0	-0.60546875	0.02565234375	3.138203125	36.0788660217	35.8578462768	25.4208984375	25.3990437552	25.4136071784	37.32734375	31.7667165136	
1516518380	2018-01-21 00:24:38	78.532962963	3.09314663319e-09	1.32745020275e-10	1.60908496264	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.9	4.95	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7084960938	0.0	349.88860744	23.4316599017	0.0	80.0	-0.29296875	0.02548828125	3.1379296875	36.0788660217	35.8578462768	25.4326171875	25.3990437552	25.4154564344	37.313671875	31.7850276193	
1516519280	2018-01-21 00:39:38	78.5433796296	3.07148935583e-09	1.32745020275e-10	1.60908496264	3.15362342183e+19	43.0	52.0	42.0	47.0	48.0	23.84	4.95	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7084960938	0.0	349.961851863	23.4316599017	0.0	79.0	-0.56640625	0.0255625	3.1378515625	36.0788660217	35.8578462768	25.4599609375	25.4225631816	25.4190097194	37.2994140625	31.7911313211	
1516520180	2018-01-21 00:54:38	78.5538078704	3.07148935583e-09	1.32745020275e-10	1.60908496264	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.9	4.97	30.0	31.0	30.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7084960938	0.0	350.108340709	23.4772911771	0.0	89.0	2.01171875	0.02553125	3.1378125	36.0788660217	35.8578462768	25.48046875	25.4225631816	25.4261247297	37.296875	31.8185979797	
1516521080	2018-01-21 01:09:38	78.564212963	3.07148935583e-09	1.32745020275e-10	1.60908496264	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.84	4.97	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7524414062	0.0	350.035096286	23.4772911771	0.0	86.0	-0.625	0.02557421875	3.138125	36.0788660217	35.8578462768	25.490234375	25.4543047399	25.4336708909	37.289453125	31.8491164892	
1516521980	2018-01-21 01:24:38	78.5746296296	3.09314663319e-09	1.32745020275e-10	1.60908496264	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.84	4.94	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7634277344	0.0	350.108340709	23.5001068148	0.0	78.0	5.4296875	0.0254296875	3.1381640625	36.0788660217	35.8578462768	25.388671875	25.4543047399	25.4421296663	37.28515625	31.8613238929	
1516522880	2018-01-21 01:39:38	78.5850462963	3.09314663319e-09	1.33916088955e-10	1.60908496264	3.15362342183e+19	43.0	52.0	42.0	47.0	48.0	23.84	4.95	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.7744140625	0.0	349.961851863	23.5229224525	0.0	85.0	-0.5859375	0.0253515625	3.137890625	36.0788660217	35.8578462768	25.5078125	25.4874947567	25.4514289365	37.27265625	31.8918424024	
1516523780	2018-01-21 01:54:38	78.595462963	3.09314663319e-09	1.32745020275e-10	1.60908496264	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.84	4.95	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8073730469	0.0	349.815363018	23.5457380902	0.0	84.0	7.6953125	0.02564453125	3.138125	36.0788660217	35.8578462768	25.544921875	25.4874947567	25.4614465725	37.2671875	31.9071016572	
1516524680	2018-01-21 02:09:38	78.6058912037	3.09314663319e-09	1.31584192349e-10	1.60908496264	3.15362342183e+19	43.0	52.0	42.0	47.0	48.0	23.84	4.96	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8513183594	0.0	350.108340709	23.5457380902	0.0	90.0	-0.56640625	0.02524609375	3.137734375	36.0788660217	35.8578462768	25.5732421875	25.5213270763	25.4731943154	37.2591796875	31.9223609119	
1516525580	2018-01-21 02:24:38	78.6163078704	3.11495661746e-09	1.31584192349e-10	1.60908496264	3.15362342183e+19	43.0	52.0	41.0	47.0	48.0	23.84	4.97	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	23.8403320312	0.0	350.035096286	23.5457380902	0.0	90.0	-0.703125	0.02550390625	3.138046875	36.0788660217	35.8578462768	25.595703125	25.5213270763	25.4852928909	37.2482421875	31.9406720176	
