Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1530250926	2018-06-29 00:06:51	15.0051388889	3.09314663319e-09	1.80520448407e-10	1.8005796614	3.15362342183e+19	45.0	55.0	43.0	51.0	51.0	23.84	5.77	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8181152344	0.0	275.032807398	24.0476821192	0.0	74.0	1.26953125	0.02573828125	3.1364453125	39.4786176865	39.1645765487	26.724609375	26.7835209994	26.8999654282	36.5724609375	32.9508346812	
1530251826	2018-06-29 00:21:52	15.0155555556	3.09314663319e-09	1.82112989076e-10	1.7879701128	3.15362342183e+19	45.0	55.0	43.0	51.0	51.0	23.84	5.77	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8291015625	0.0	275.10605182	24.0704977569	0.0	77.0	-0.5859375	0.02573828125	3.13640625	39.4786176865	39.1645765487	26.7265625	26.7490234375	26.8779395414	36.5681640625	32.9477828303	
1530252726	2018-06-29 00:36:52	15.0259606481	3.09314663319e-09	1.75825898976e-10	1.7879701128	3.15362342183e+19	45.0	55.0	43.0	51.0	51.0	23.84	5.77	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8400878906	0.0	275.032807398	24.0704977569	0.0	82.0	11.5234375	0.02546484375	3.1362890625	39.4786176865	39.1645765487	26.7197265625	26.7490234375	26.8590126521	36.55546875	32.9599902341	
1530253626	2018-06-29 00:51:52	15.0363888889	3.09314663319e-09	1.78941834179e-10	1.7879701128	3.15362342183e+19	45.0	55.0	43.0	51.0	51.0	23.84	5.76	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8291015625	0.0	275.032807398	24.0704977569	0.0	77.0	-0.76171875	0.02547265625	3.136015625	39.4786176865	39.1645765487	26.724609375	26.7490234375	26.8409243273	36.5611328125	32.9569383831	
1530254526	2018-06-29 01:06:51	15.0467939815	3.07148935583e-09	1.77377024609e-10	1.7879701128	3.15362342183e+19	45.0	55.0	43.0	51.0	51.0	23.84	5.77	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8291015625	0.0	275.032807398	24.0476821192	0.0	80.0	-0.64453125	0.0256328125	3.1364453125	39.4786176865	39.1645765487	26.7216796875	26.7187762164	26.8250359958	36.5671875	32.9599902341	
1530255426	2018-06-29 01:21:51	15.0572106481	3.07148935583e-09	1.78941834179e-10	1.8005796614	3.15362342183e+19	45.0	55.0	43.0	50.0	51.0	23.84	5.77	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.78515625	0.0	275.032807398	24.0704977569	0.0	71.0	-0.41015625	0.02562890625	3.1362890625	39.4786176865	39.1645765487	26.6953125	26.7187762164	26.8089905909	36.5658203125	32.9447309793	
1530256326	2018-06-29 01:36:52	15.0676273148	3.07148935583e-09	1.77377024609e-10	1.7879701128	3.15362342183e+19	45.0	55.0	43.0	50.0	51.0	23.84	5.76	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8071289062	0.0	275.032807398	24.0020508438	0.0	85.0	-0.72265625	0.02544921875	3.130390625	39.4786176865	39.1645765487	26.70703125	26.7187762164	26.7953759086	36.5765625	32.9355754265	
1530257226	2018-06-29 01:51:52	15.0780439815	3.04998371618e-09	1.78941834179e-10	1.8005796614	3.15362342183e+19	45.0	55.0	43.0	50.0	51.0	23.84	5.77	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.7741699219	0.0	274.886318552	24.0248664815	0.0	78.0	1.30859375	0.02573046875	3.13625	39.4786176865	39.1645765487	26.693359375	26.7187762164	26.7840148513	36.5771484375	32.9264198737	
1530258126	2018-06-29 02:06:52	15.0884606481	3.09314663319e-09	1.78941834179e-10	1.8005796614	3.15362342183e+19	45.0	55.0	43.0	50.0	51.0	23.84	5.76	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.8071289062	0.0	274.959562975	24.0020508438	0.0	85.0	-0.52734375	0.02558203125	3.1365625	39.4786176865	39.1645765487	26.6962890625	26.7187762164	26.773356906	36.5771484375	32.9233680227	
1530259026	2018-06-29 02:21:51	15.0988773148	3.07148935583e-09	1.78941834179e-10	1.8005796614	3.15362342183e+19	45.0	55.0	43.0	50.0	51.0	23.84	5.76	35.0	30.0	35.0	47.0	47.0	24.0	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.7631835938	0.0	275.032807398	24.0020508438	0.0	78.0	11.6796875	0.02557421875	3.13640625	39.4786176865	39.1645765487	26.685546875	26.6927629509	26.7611243607	36.5837890625	32.9142124699	
