Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1502171341	2017-08-08 00:11:08	46.5091898148	3.07148935583e-09	1.80520448407e-10	2.23886023575	3.15362342183e+19	48.0	58.0	46.0	53.0	52.0	23.84	6.06	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8618164062	0.0	300.009155553	32.443836787	3208.0	2737.0	1530.5078125	0.23634765625	3.2484375	39.4945593064	39.1471166793	27.798828125	27.8506318163	27.9408549109	36.504296875	34.6781823176	
1502172241	2017-08-08 00:26:07	46.5195949074	3.09314663319e-09	1.80520448407e-10	2.25464965905	3.15362342183e+19	48.0	58.0	46.0	53.0	52.0	23.84	6.07	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8837890625	0.0	300.009155553	32.6263618885	3207.0	2737.0	1527.8515625	0.23645703125	3.248203125	39.4945593064	39.1471166793	27.79296875	27.8158425965	27.9198418139	36.5064453125	34.65376751	
1502173141	2017-08-08 00:41:07	46.5300231481	3.09314663319e-09	1.77377024609e-10	2.27055043627	3.15362342183e+19	48.0	58.0	46.0	53.0	52.0	23.84	6.07	33.0	33.0	33.0	32.0	32.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8288574219	0.0	300.009155553	32.7176244392	3208.0	2737.0	1530.46875	0.23661328125	3.2476171875	39.4945593064	39.1471166793	27.7744140625	27.8158425965	27.9002795267	36.5056640625	34.6324045534	
1502174041	2017-08-08 00:56:07	46.5404282407	3.09314663319e-09	1.78941834179e-10	2.23886023575	3.15362342183e+19	48.0	58.0	46.0	53.0	52.0	23.84	6.08	33.0	33.0	33.0	32.0	32.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.7958984375	0.0	300.082399976	32.3525742363	3208.0	2737.0	1530.6640625	0.23674609375	3.2481640625	39.4945593064	39.1471166793	27.7421875	27.7818824717	27.881199025	36.5220703125	34.6201971496	
1502174941	2017-08-08 01:11:08	46.5508564815	3.11495661746e-09	1.77377024609e-10	2.22318138657	3.15362342183e+19	48.0	58.0	46.0	53.0	52.0	23.84	6.06	33.0	33.0	33.0	32.0	32.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8068847656	0.0	300.082399976	32.375389874	3208.0	2737.0	1529.90234375	0.2361484375	3.2484375	39.4945593064	39.1471166793	27.7333984375	27.7818824717	27.8622980628	36.5244140625	34.6110415967	
1502175841	2017-08-08 01:26:08	46.5612615741	3.04998371618e-09	1.78941834179e-10	2.23886023575	3.15362342183e+19	48.0	58.0	46.0	52.0	52.0	23.84	6.06	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.83984375	0.0	300.082399976	32.375389874	3207.0	2736.0	1527.6953125	0.23601171875	3.2481640625	39.4945593064	39.1471166793	27.740234375	27.7507537227	27.8470817272	36.533203125	34.592730491	
1502176741	2017-08-08 01:41:07	46.5716898148	3.09314663319e-09	1.82112989076e-10	2.25464965905	3.15362342183e+19	48.0	58.0	46.0	53.0	52.0	23.84	6.07	32.0	33.0	32.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.8618164062	0.0	300.009155553	32.4210211493	3207.0	2737.0	1530.5859375	0.2366328125	3.248203125	39.4945593064	39.1471166793	27.82421875	27.7507537227	27.8323165153	36.525	34.595782342	
1502177641	2017-08-08 01:56:07	46.5820949074	3.09314663319e-09	1.78941834179e-10	2.23886023575	3.15362342183e+19	48.0	58.0	46.0	52.0	52.0	23.84	6.07	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.7849121094	0.0	300.155644398	32.4210211493	3208.0	2736.0	1530.703125	0.2365625	3.2484765625	39.4945593064	39.1471166793	27.7216796875	27.7507537227	27.8179311941	36.523046875	34.5866267891	
1502178541	2017-08-08 02:11:07	46.5925115741	3.11495661746e-09	1.78941834179e-10	2.25464965905	3.15362342183e+19	48.0	58.0	46.0	52.0	52.0	23.84	6.07	33.0	33.0	33.0	33.0	33.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.7958984375	0.0	300.082399976	32.4210211493	3208.0	2737.0	1530.91796875	0.2364296875	3.2484765625	39.4945593064	39.1471166793	27.7177734375	27.7507537227	27.8060259738	36.5251953125	34.5713675344	
1502179441	2017-08-08 02:26:07	46.6029282407	3.09314663319e-09	1.78941834179e-10	2.23886023575	3.15362342183e+19	48.0	58.0	46.0	52.0	52.0	23.84	6.06	33.0	33.0	33.0	33.0	33.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	25.6860351562	0.0	299.93591113	32.3297585986	3207.0	2737.0	1530.80078125	0.23616796875	3.248046875	39.4945593064	39.1471166793	27.6845703125	27.7226595271	27.7949640831	36.54765625	34.5530564287	
