Time [sec]	Date	Up-Time [days]	Vacuum 1 (HV) [mbar]	Vacuum 2 (UHV) [mbar]	Vacuum 3 (Fore) [mbar]	Vacuum 4/humidity [mbar]	TURBO1_TEMP_BEARING_R [°C]	TURBO1_TEMP_MOTOR_R [°C]	TURBO1_TEMP_BOTTOMPART_R [°C]	TURBO1_TEMP_POWERSTAGE_R [°C]	TURBO1_TEMP_ELECTRONICS_R [°C]	TURBO1_VOLT_R [V]	TURBO1_CURR_R [A]	TURBO2_TEMP_BEARING_R [°C]	TURBO2_TEMP_MOTOR_R [°C]	TURBO2_TEMP_BOTTOMPART_R [°C]	TURBO2_TEMP_POWERSTAGE_R [°C]	TURBO2_TEMP_ELECTRONICS_R [°C]	TURBO2_VOLT_R [V]	TURBO2_CURR_R [A]	TURBO3_TEMP_BEARING_R [°C]	TURBO3_TEMP_MOTOR_R [°C]	TURBO3_TEMP_BOTTOMPART_R [°C]	TURBO3_TEMP_POWERSTAGE_R [°C]	TURBO3_TEMP_ELECTRONICS_R [°C]	TURBO3_VOLT_R [V]	TURBO3_CURR_R [A]	Ambient Temperature (raw) [°C]	Ambient Humidity result [%]	Capillary Temperature [°C]	IOS Heatsink Temperature [°C]	IOS RF0-1 Freq [kHz]	IOS RF2-3 Freq [kHz]	Ctrap RF amp [Vpp]	Ctrap AMP current [A]	Ctrap Freq [MHz]	CE-pos electronics temperature (   act.   ) [°C]	CE-neg electronics temperature (   act.   ) [°C]	Analyzer temperature sensor [°C]	Analyzer temp sensor (filtered) [°C]	Analyzer temperature (with delay model) [°C]	CEPS Peltier temperature sensor [°C]	Quad Detector Temperature [°C]	
1506404402	2017-09-26 00:00:56	31.3433217593	3.04998371618e-09	1.68271378106e-10	2.17680056722	3.15362342183e+19	47.0	59.0	45.0	54.0	53.0	23.84	6.99	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.169921875	0.0	99.9053926206	25.0059389019	3174.0	84.0	0.33203125	0.02531640625	3.136328125	39.4955320542	39.1445131484	26.1533203125	26.2058416789	26.2937433867	37.257421875	32.5388348033	
1506405302	2017-09-26 00:15:56	31.3537384259	3.09314663319e-09	1.69755858204e-10	2.14641883891	3.15362342183e+19	47.0	59.0	45.0	54.0	53.0	23.84	6.97	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.169921875	0.0	99.9053926206	25.0059389019	3174.0	94.0	0.21484375	0.02555078125	3.13640625	39.4955320542	39.1445131484	26.1328125	26.1738051856	26.2759287936	37.2744140625	32.5174718467	
1506406202	2017-09-26 00:30:56	31.3641550926	3.09314663319e-09	1.71253434298e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	52.0	23.84	7.0	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.1809082031	0.0	100.271614734	25.0059389019	3174.0	89.0	19.21875	0.02583984375	3.13609375	39.4955320542	39.1445131484	26.1259765625	26.1738051856	26.256862429	37.276171875	32.4930570391	
1506407102	2017-09-26 00:45:55	31.3745601852	3.07148935583e-09	1.68271378106e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	53.0	23.84	6.99	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2578125	0.0	99.9786370434	24.9603076266	3174.0	100.0	0.4296875	0.02573046875	3.136484375	39.4955320542	39.1445131484	26.1103515625	26.1417097053	26.238860537	37.276953125	32.5144199957	
1506408002	2017-09-26 01:00:56	31.3849884259	3.07148935583e-09	1.69755858204e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	52.0	23.84	6.97	31.0	31.0	31.0	31.0	31.0	24.0	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2468261719	0.0	99.7589037751	25.074385815	3174.0	92.0	0.17578125	0.0255	3.13640625	39.4955320542	39.1445131484	26.115234375	26.1417097053	26.2217428629	37.2732421875	32.4930570391	
1506408902	2017-09-26 01:15:56	31.3953935185	3.07148935583e-09	1.69755858204e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	52.0	23.84	6.98	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2358398438	0.0	99.9053926206	24.9831232643	3174.0	87.0	0.5078125	0.02540234375	3.1363671875	39.4955320542	39.1445131484	26.087890625	26.1109578177	26.205890892	37.2826171875	32.4777977844	
1506409802	2017-09-26 01:30:56	31.4058101852	3.07148935583e-09	1.6679987948e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	52.0	23.84	7.01	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2248535156	0.0	100.051881466	25.0059389019	3174.0	87.0	0.1953125	0.0256875	3.1338671875	39.4955320542	39.1445131484	26.08203125	26.1109578177	26.1905514732	37.275390625	32.4655903806	
1506410702	2017-09-26 01:45:55	31.4162384259	3.04998371618e-09	1.69755858204e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	52.0	23.84	6.99	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2468261719	0.0	100.051881466	25.0059389019	3174.0	97.0	1.73828125	0.02541796875	3.1362890625	39.4955320542	39.1445131484	26.0771484375	26.1109578177	26.1766385684	37.279296875	32.4686422315	
1506411602	2017-09-26 02:00:55	31.4266435185	3.07148935583e-09	1.69755858204e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	52.0	23.84	7.0	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2578125	0.0	99.9786370434	24.9603076266	3174.0	78.0	0.15625	0.02561328125	3.1364453125	39.4955320542	39.1445131484	25.962890625	26.0818673972	26.1626202633	37.275	32.4777977844	
1506412502	2017-09-26 02:15:56	31.4370601852	3.09314663319e-09	1.68271378106e-10	2.16155632497	3.15362342183e+19	47.0	59.0	45.0	54.0	52.0	23.84	6.98	31.0	31.0	31.0	31.0	31.0	24.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	24.2468261719	0.0	100.125125889	24.9831232643	3174.0	78.0	18.28125	0.0258125	3.1361328125	39.4955320542	39.1445131484	26.072265625	26.0818673972	26.1513891963	37.2775390625	32.4777977844	
